Code,Name,Type,Ownership,HOD Email,Name (Khmer),Address,Phone,Map Link
KDT,TUBE COFFEE KDAN TWO,store,franchiser,,ធ្យូបកាហ្វេ ក្ដាន់ពីរ,"#D3&E, St.169, Sangkat Veal Vong, Khan 7 Makara, Phnom Penh.",010 680 575,https://maps.app.goo.gl/ocdUxgUFM45sdVP86
CDP,TUBE COFFEE + CANADIA PARK,store,franchisee,,ធ្យូបកាហ្វេផ្លឹស កាណាឌីយ៉ាផាក,"#103AE0, St.67 CORNER 108, Sangkat Wat Phnom, Khan Daun Penh, Phnom Penh.",096 858 5999,https://maps.app.goo.gl/Fv3JJfEhxKMPoeVf8
CCV,TUBE COFFEE + CHROY CHANGVAR,store,franchisee,,ធ្យូបកាហ្វេផ្លឹស ជ្រោយចង្វារ,"National Road 6, Sangkat Chroy Chong var, khan Chroy Chong Var, Phnom Penh.",069 972 953,https://maps.app.goo.gl/ZC8WRuVWk1aFSjGi6
RUL,TUBE COFFEE RULE,store,franchisee,,ធ្យូបកាហ្វេ សាលាច្បាប់,"#791, St.Pras Mony Vong (93), Sangkat Boeung Trabek, Khan Chamkamorn, Phnom Penh.",016 2222 15,https://maps.app.goo.gl/rpcidH6opHQ2SkPXA
BTS,TUBE COFFEE BAK TOUK SCHOOL,store,franchisee,,ធ្យូបកាហ្វេ បាក់ទូក,"Street 182 & 189, Sangkat Veal Vong , Khan 7 Makara Phnom Penh, Cambodia.",069 972 653,https://maps.app.goo.gl/5ESiuZMfSq3267cT9
TTP,TUBE COFFEE TOUL TOMPOUNG,store,franchisee,,ធ្យូបកាហ្វេ ទួលទំពូង,"#66E0E1, St.163, Sangkat TTP I, Khan Chamkamorn, Phnom Penh.",015 292 977,https://maps.app.goo.gl/3PbJ2HVCDi1JG6JU8
TKS,TUBE COFFEE TOUL KORK SAMAI SQUARE,store,franchisee,,ធ្យូបកាហ្វេ ទួលគោកសាម៉ៃស៊្វែរ,"SAMAI SQUARE #2, St. 337, Sangkat Boeung Kok 1, Khan Toul Kork, Phnom Penh.",015 915 599,https://maps.app.goo.gl/HSvCXhps4YcBFkw19
IFC,TUBE COFFEE INSTITUTE FRANCAIS,store,franchisee,,ធ្យូបកាហ្វេ អាឡីយ៉ង់ហ្រ្វង់សេ,"#103, St.185, Sangkat Boeung Rang, Khan Doun Penh, Phnom Penh.",010 321 488,https://maps.app.goo.gl/JvYrXMNRg5Z1252a7
CAP,TUBE COFFEE CHHBAR AMPOV,store,franchisee,,ធ្យូបកាហ្វេ ច្បារអំពៅ,"#570AE0, St.1, Sangkat Chbar Ampov2, Khan Meanchey, Phnom Penh.",093 321 488,https://maps.app.goo.gl/VnBhtJpBG7pULe8fA
RSK,TUBE COFFEE RUSSEY KEO,store,franchisee,,ធ្យូបកាហ្វេ ឬស្សីកែវ,"#567, St.5,Sangkat Russey Keo, Khan Russey Keo, Phnom Penh.",016 956 555,https://maps.app.goo.gl/DrDxpwf5oXKDXnSk8
TGM,TUBE COFFEE THE GREEN MALL,store,franchisee,,ធ្យូបកាហ្វេ ដឹហ្រ្គីនម៉ល,"The Green Mall, St. 3032, Lot 360, Sangkat Khmounh, Khan Sen Sok, Phnom Penh.",087 882 377,https://maps.app.goo.gl/5wbDFsBVTZiEXcPR8
BRD,TUBE COFFEE BEY ROY DOB,store,franchisee,,ធ្យូបកាហ្វេ ផ្លូវ៣១០,"#456, St.310, Phum 2, Sangkat BKK3, Khan Chamkamorn, Phnom Penh.",069 546 668,https://maps.app.goo.gl/RHxLPQNncXzWsUs5A
STM,TUBE COFFEE SANTHORMOK,store,franchisee,,ធ្យូបកាហ្វេ សន្ធរម៉ុក,"Address: #648, St.128, Phum 2, Sangkat Teuk Laak 1, Khan Toul Kork, Phnom Penh.",015 711 533,https://maps.app.goo.gl/jQpP38mUgDuxSyhz9
KRR,TUBE COFFEE KIRIROM,store,franchisee,,ធ្យូបកាហ្វេ គីរីរម្យ,"#123AE0, St.Preah Sihanouk Blv, Sangkat Boeung Prolet, Khan 7 Makara, Phnom Penh.",070 912 288,https://maps.app.goo.gl/BzJ9PfjnAsdJjgMF9
HLM,TUBE COFFEE HENGLY MARKET,store,franchisee,,ធ្យូបកាហ្វេ ហេងលី,"#648, St.128, Phum 2, Sangkat Teuk Laak 1, Khan Toul Kork, Phnom Penh.",016 980 585,https://maps.app.goo.gl/Q8A3wLmbMTo7eJA4A
TKM,TUBE COFFEE TA KHMAO,store,franchisee,,ធ្យូបកាហ្វេ តាខ្មៅ,"St. 206, Phum Derm Mean, Sangkat Derm Mean, Takmao, Kandal Province.",098 266 474,https://maps.app.goo.gl/9Zx4vauxWj7C89mJ9
CMM,TUBE COFFEE CHOUK MEAS MARKET,store,franchisee,,ធ្យូបកាហ្វេ ឈូកមាស,"Land 191, St. Oknha Heng Try, Phum Kouk Khleang, Sangkat Phnom Penh Thmey, Khan Sen Sok, Phnom Penh.",098 837 989,https://maps.app.goo.gl/yqS1r7Smdd9ccrqMA
SMC,TUBE COFFEE STEUNG MEANCHEY,store,franchisee,,ធ្យូបកាហ្វេ ស្ទឹងមានជ័យ,"#631, St. Preah Monireth 217, Sangkat Stoeung Mean Chey2, Phnom Penh.",087 81 79 89,https://maps.app.goo.gl/rTVjK9qnSwpFP4z16
FBP,TUBE COFFEE TOUL SANGKE,store,franchisee,,ធ្យូបកាហ្វេ ទួលសង្កែ,"St. 62R, Group 11, Phum Toul Sompao, Sangkat Toul Sangke 1, Phnom Penh.",069 467 778,https://maps.app.goo.gl/ifgGdcHMvZWihakU8
VSB,TUBE COFFEE VENG SRENG,store,franchisee,,ធ្យូបកាហ្វេ វេងស្រេង,"#032, Veng Sreng Blvd, Sangkat Chom Chao1, Khan Por Sencheyt, Phnom Penh.",086 56 79 89,https://maps.app.goo.gl/ur99BTRkcxvdZhKdA
SEA,TUBE COFFEE SEA TV,store,franchisee,,ធ្យូបកាហ្វេ អាស៊ីអាគ្នេយ៍,"B52, street 1019, Sangkat Teuk Thla, khan Sensok, Phnom Penh",069 277 989,https://maps.app.goo.gl/Pop69hJbywn73wLB6
DPM,TUBE COFFEE DOMREY PARK MALL,store,franchisee,,ធ្យូបកាហ្វេ ដំរីផាកម៉ល,"Address bill to: Domrey Park 598 Community Mall, No. 140, Street 598, Sangkat Chrang Chomres 1,",069 948 898,https://maps.app.goo.gl/QkjFNpzKnzXVx7M26
MNR,TUBE COFFEE PREAH MONIRETH,store,franchisee,,ធ្យូបកាហ្វេ ព្រះមុន្នីរ៉េត,"Address Bill to: #48-50 Samdech Monireth Blvd Toul Svay Prey II, Boueng Keng Kang, Phnom Penh",010 269 289,https://maps.app.goo.gl/Cx6fc3qpTRnhxJAe9
KPI,TUBE COFFEE + KOH PICH ISLAND,store,franchisee,,ធ្យូបកាហ្វេផ្លឹស កោះពេជ្រ,"Address bill to: Type 3 of The Elysée B2-020 Street Koh Pich ,Tonle Bassac,",010 818 810,https://maps.app.goo.gl/FZtEwzxbfu2dUSZDA
CKD,TUBE COFFEE + CHAMKADOUNG,store,franchisee,,ធ្យូបកាហ្វេផ្លឹស ចំការដូង,"Address bill to: #339, St.217 (Chamkar Doung), Phum Thmey, Sangkat Dong Kao",070 221 231,https://maps.app.goo.gl/mWhzzMwmJUdUfw1q9
2K4,TUBE COFFEE STREET 2004,store,franchisee,,ធ្យូបកាហ្វេ ២០០៤,"Address bill to: 422 Street 2004, Sangkat Teuk Thla, Khan Sen Sok, Phnom Penh, Cambodia",015 468 788,https://maps.app.goo.gl/1HUXiuTccQ6anhNh9
TNH,TUBE COFFEE TECHO SANTEPHEAP NATIONAL HOSPITAL,store,franchisee,,ធ្យូបកាហ្វេ មន្ទីពេទ្យតេជោសន្ដិភាព,"TECHO SANTEPHEAP NATIONAL HOSPITAL, Tomnop Kop Srov Road,Sangkat Kouk Roka, Khan Prek Pnov, Phnom Penh, Cambodia",098 758 788,https://maps.app.goo.gl/1pmuwopJa57Te84P6
PBS,TUBE COFFEE PENG HOUTH BOEUNG SNOR,store,franchisee,,ធ្យូបកាហ្វេ ប៉េងហួតបឹងស្នោរ,"#05 National Road 01, Sangkat Niroth, Khan Chhbar Ampov, Phnom Penh, Cambodia",093 618 788,https://maps.app.goo.gl/iaG3cTjSG1GRWset4
KXW,TUBE COFFEE KAMPONG SOM EXPRESS WAY,store,franchisee,,ធ្យូបកាហ្វេ ផ្លូវល្បឿនលឿនកំពង់សោម,"Phnom Penh-Sihanoukville Expressway, Kampong Seila District, Preah Sihanouk Province, Cambodia.",087 476 668,https://maps.app.goo.gl/iaG3cTjSG1GRWset5
TVS,TUBE COFFEE RIVER SIDE,store,franchisee,,ធ្យូបកាហ្វេ មាត់ទន្លេ,"#385 Preah Sisowath Quay, Sangkat Chey Chumneah, Khan Daun Penh, Phnom Penh, Cambodia",086 548 788,https://maps.app.goo.gl/q6S1bap3zq6i1tTM6
BTB,TUBE COFFEE BATTAMBANG,store,franchisee,,ធ្យូបកាហ្វេ បាត់ដំបង,"Phum Chamkar Somraong II, Sangkat Chamkar Somraong, Krong Battambang, Cambodia",015 383 900,https://maps.app.goo.gl/vQYpZpQTei8NfrCB7
CC3,TUBE COFFEE CHOM CHAO NATIONAL ROAD 3,store,franchisee,,ធ្យូបកាហ្វេ ចោមចៅផ្លូវជាតិលេខ៣,"#02 National Road 03, Sangkat Chom Chao II, Khan Por Senchey, Phnom Penh, Cambodia",087 918 887,https://maps.app.goo.gl/ZB49YzJrSaNNfvJU7
MCA,TUBE COFFEE MEAN CHEY AVENUE MALL,store,franchisee,,ធ្យូបកាហ្វេ មានជ័យម៉ល,"Mean Chey Avenue, a Community Mall, Hun Sen Blvd, Sangkat Chak Angre Krom, Khan Meanchey, Phnom Penh, Cambodia",087 216 667,https://maps.app.goo.gl/zfwLYdDxbm2eTvg78
RTN,TUBE COFFEE + REACH THEANY,store,franchisee,,ធ្យូបកាហ្វេផ្លឹស រាជធានី,"#21 Street 122 conner Street 257 Phum 11 Sangkat Teuk La’ork I, Khan Toul Kork, Phnom Penh, Cambodia",016 273 739,https://maps.app.goo.gl/mKpjNs9ckwoUoNHj9
SHV,TUBE COFFEE SIHANOUKVILLE CITY,store,franchisee,,ធ្យូបកាហ្វេ ក្រុងព្រះសីហនុ,"066 Street 7 Makara, Phum 2, Sangkat 4, Khan Mittapheap, Sihanoukville, Preah Sihanouk Province, Cambodia.",015 383 985,https://maps.app.goo.gl/YnGJLwsf15E92toN7
CKC,TUBE COFFEE CAMKO CITY,store,franchisee,,ធ្យូបកាហ្វេ កាំកូ,"Phum Poung Peay, Sangkat Toul Sangke II, Khan Russey Keo, Phnom Penh, Cambodia",015 370 755,https://maps.app.goo.gl/XaJAuCbZHQiamzdS6
SVT,TUBE COFFEE SIEM REAP,store,franchisee,,ធ្យូបកាហ្វេ សៀមរាប,"Street Krom2, Phum Mondol 2, Sangkat Svay Dangkum, Krong Siem Reap, Siem Reap Province, Cambodia.",010 636 900,https://maps.app.goo.gl/v2keNiGHZMFBhLt27
TPL,TUBE COFFEE PREAK LEAP,store,franchisee,,ធ្យូបកាហ្វេ ព្រែកលៀប,"1618 National Raod 6A, Phum Prek Leap, Sangkat Prek Leap, Khan Chroy Changvar, Phnom Penh, Cambodia",093 585 797,https://maps.app.goo.gl/k8SwLmQAY8q7xECo9
KSH,TUBE COFFEE KHMER SOVIET FRIENDSHIP HOSPITAL,store,franchisee,,ធ្យូបកាហ្វេ មន្ទីរពេទ្យមិត្តភាពខ្មែរ សូវៀត,"KHMER-SOVIET FRENDSHIP HOSPITAL, Land lot No. Street 271 , Sangkat Tumnob Tuek, Khan Boeung Keng Kang, Phnom Penh, Cambodia",015 371 571,https://maps.app.goo.gl/w7x4z4XsPYH1szyZ6
KPT,TUBE COFFEE KAMPOT,store,franchisee,,ធ្យូបកាហ្វេ កំពត,"Street 735, Phum 1 Ousaphea, Sangkat Kampong Kandal, Krong Kampot, Kampot Province, Cambodia",093 588 528,https://maps.app.goo.gl/3q7M2sU3cxQ4gYZU8
PPC,TUBE COFFEE POIPET PARK CITY,store,franchisee,,ធ្យូបកាហ្វេ ប៉ោយប៉ែតផាកស៊ីធី,"The Park City Poipet, 1 Park Square, Phum Kilo 4, Sangkat Phsar Kandal, Krong Poipet, Banteay Meanchey Province, Cambodia",098 636 909,https://maps.app.goo.gl/vHrgCpmLFoz1ky5i7
